"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상남도 거제시 장목면 장목리","219-27","0219","0027","리오그린빌1","월세","58.9988","202005","12","1,000","20","4","2016","장목5길 3-1"
"경상남도 거제시 장목면 장목리","219-27","0219","0027","리오그린빌1","월세","53.8575","202008","10","500","20","1","2016","장목5길 3-1"
"경상남도 거제시 장목면 장목리","219-1","0219","0001","리오그린빌2","월세","57.2527","202006","19","500","30","1","2016","장목5길 3"
"경상남도 거제시 장목면 장목리","407-1","0407","0001","해양빌A동","전세","52.9192","202011","26","12,000","0","2","2015","장목2길 9"
"경상남도 거제시 장승포동","561-5","0561","0005","둥지빌하우스","월세","32.695","202003","9","500","10","2","2003","마전8길 17"
"경상남도 거제시 장평동","726-4","0726","0004","거제일성한빛빌라","전세","59.7","202102","24","8,000","0","2","1996","장평3로5길 38"
"경상남도 거제시 장평동","58-18","0058","0018","성아빌라","월세","71.55","202007","20","2,000","25","1","1995","장평로1길 6"
"경상남도 거제시 장평동","95-141","0095","0141","써니스위트빌","월세","24.51","202004","13","200","25","2","2004","장평3로4길 40-6"
"경상남도 거제시 장평동","95-141","0095","0141","써니스위트빌","월세","24.51","202004","20","200","25","3","2004","장평3로4길 40-6"
"경상남도 거제시 장평동","95-141","0095","0141","써니스위트빌","월세","24.51","202004","20","200","25","3","2004","장평3로4길 40-6"
"경상남도 거제시 장평동","95-141","0095","0141","써니스위트빌","월세","24.51","202006","26","100","25","2","2004","장평3로4길 40-6"
"경상남도 거제시 장평동","612","0612","0000","용마에이스빌라(A동)","월세","84.9","202011","13","5,000","5","2","1994","장평1로16길 15"
"경상남도 거제시 장평동","612","0612","0000","용마에이스빌라(A동)","전세","84.9","202102","3","4,500","0","4","1994","장평1로16길 15"
"경상남도 거제시 장평동","375-3","0375","0003","정원빌딩","월세","26.27","202005","15","200","25","7","2012","장평로8길 17"
"경상남도 거제시 장평동","375-3","0375","0003","정원빌딩","월세","26.27","202007","28","200","30","5","2012","장평로8길 17"
"경상남도 거제시 장평동","116-2","0116","0002","허브카운티1단지","월세","84.78","202009","18","500","55","4","2014","장평2로 60"
"경상남도 거제시 장평동","116-2","0116","0002","허브카운티1단지","월세","65.39","202010","18","300","45","4","2014","장평2로 60"
"경상남도 거제시 장평동","116-2","0116","0002","허브카운티1단지","전세","84.78","202101","30","11,000","0","1","2014","장평2로 60"
"경상남도 거창군 가조면 마상리","2","0002","0000","장군","월세","58.632","202010","10","1,000","40","5","2014","마상3길 49"
"경상남도 거창군 가조면 수월리","491-6","0491","0006","트윈빌","월세","79.06","202003","3","500","80","2","2018","월포2길 31"
"경상남도 거창군 가조면 수월리","491-6","0491","0006","트윈빌","전세","79.06","202007","8","9,500","0","3","2018","월포2길 31"
"경상남도 거창군 거창읍 가지리","1323-28","1323","0028","김C빌라","전세","32.76","202009","4","3,000","0","3","2011","거열로7길 102"
"경상남도 거창군 거창읍 가지리","1323-28","1323","0028","김C빌라","전세","32.76","202012","5","3,000","0","3","2011","거열로7길 102"
"경상남도 거창군 거창읍 가지리","1323-28","1323","0028","김C빌라","월세","32.76","202102","21","500","30","4","2011","거열로7길 102"
"경상남도 거창군 거창읍 김천리","238-4","0238","0004","드림빌리지3차","월세","67.23","202005","13","500","40","5","2011","김천1길 51"
"경상남도 거창군 거창읍 김천리","181-3","0181","0003","썬원룸빌라","월세","27.6","202008","22","200","23","1","1997","중산길 8"
"경상남도 거창군 거창읍 대동리","604-1","0604","0001","그린맨션C동","전세","57.12","202101","16","2,500","0","1","1991","거열로2길 34-14"
"경상남도 거창군 거창읍 대동리","12-33","0012","0033","진성빌라A동","전세","87.06","202008","31","7,800","0","3","2000","동동6길 115"
"경상남도 거창군 거창읍 대동리","141-3","0141","0003","태양빌라","전세","157.95","202006","13","22,000","0","1","1995","강양2길 37-6"
"경상남도 거창군 거창읍 대동리","27-20","0027","0020","휴먼빌","월세","44.49","202102","10","1,000","40","5","2013","거창대로1길 32-2"
"경상남도 거창군 거창읍 대동리","844-14","0844","0014","흥국주택","월세","82.3","202005","30","900","33","1","1986","중앙로1길 20-15"
"경상남도 거창군 거창읍 대평리","942-6","0942","0006","은하수타운","월세","33.04","202007","29","500","33","3","2005","대평6길 52"
"경상남도 거창군 거창읍 대평리","942-6","0942","0006","은하수타운","전세","33.04","202102","19","4,000","0","4","2005","대평6길 52"
"경상남도 거창군 거창읍 상림리","13-13","0013","0013","상동라동","월세","52.8","202005","11","500","35","1","1982","죽전길 24-17"
"경상남도 거창군 거창읍 상림리","616","0616","0000","상림빌라A동","전세","77.49","202004","1","7,000","0","3","1993","강변로 19"
"경상남도 거창군 거창읍 상림리","616","0616","0000","상림빌라A동","월세","77.49","202102","22","2,800","15","4","1993","강변로 19"
"경상남도 거창군 거창읍 상림리","540","0540","0000","상림빌라C동","월세","93.99","202012","14","1,000","50","5","1996","강변로 19"
"경상남도 거창군 거창읍 상림리","13-23","0013","0023","아카시아맨션나동","전세","73.98","202005","9","5,000","0","1","1988","거열로4길 10"
"경상남도 거창군 거창읍 상림리","459-3","0459","0003","영송빌라","전세","76.2","202012","31","6,000","0","1","1995","공수들1길 16"
"경상남도 거창군 거창읍 상림리","283-2","0283","0002","영창빌라A동","월세","84.49","202008","3","5,000","30","4","1996","상동7길 46"
"경상남도 거창군 거창읍 중앙리","339-1","0339","0001","개나리","월세","77.895","202011","14","1,000","40","3","1984","죽전2길 7"
"경상남도 거창군 거창읍 중앙리","1-13","0001","0013","송화원룸","월세","27.6","202102","4","500","41","3","1999","거열로1길 78-14"
"경상남도 거창군 거창읍 중앙리","1-13","0001","0013","송화원룸","월세","27.6","202102","19","1,500","38","3","1999","거열로1길 78-14"
"경상남도 고성군 거류면 당동리","81-7","0081","0007","까치빌라","월세","60.7","202101","15","2,000","20","2","2002","당동6길 17"
"경상남도 고성군 거류면 신용리","870-3","0870","0003","블루빌101동102동","월세","71.61","202005","7","3,000","10","3","2013","화당로 39"
"경상남도 고성군 거류면 신용리","869-1","0869","0001","블루빌103동","전세","71.61","202003","4","1,300","0","4","2013","화당로 41"
"경상남도 고성군 거류면 신용리","869-1","0869","0001","블루빌103동","월세","71.61","202005","25","1,200","20","2","2013","화당로 41"
"경상남도 고성군 거류면 신용리","869-1","0869","0001","블루빌103동","월세","71.61","202012","15","1,000","25","2","2013","화당로 41"
"경상남도 고성군 거류면 신용리","1390-11","1390","0011","포레스트힐2차","전세","61.9837","202004","13","14,000","0","1","2017","거류로 511-8"
"경상남도 고성군 거류면 신용리","1390-11","1390","0011","포레스트힐2차","전세","61.9837","202004","13","13,000","0","1","2017","거류로 511-8"
"경상남도 고성군 거류면 신용리","1390-11","1390","0011","포레스트힐2차","월세","61.9837","202005","14","1,700","10","4","2017","거류로 511-8"
"경상남도 고성군 거류면 신용리","1390-11","1390","0011","포레스트힐2차","월세","61.9837","202102","14","1,500","50","3","2017","거류로 511-8"
"경상남도 고성군 거류면 신용리","1390-15","1390","0015","포레스트힐3차","월세","64.9318","202009","11","1,500","40","3","2018","거류로 511-7"
"경상남도 고성군 거류면 신용리","1390-15","1390","0015","포레스트힐3차","월세","64.9318","202010","3","2,000","35","2","2018","거류로 511-7"
