"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"충청남도 공주시 반포면 학봉리","집합","7**","동학사1로","계획관리","제1종근린생활","12m미만","157.6"," ","43,000","null","202010","9"," ","1976",""
"충청남도 공주시 반포면 학봉리","집합","7**","동학사1로","계획관리","제1종근린생활","12m미만","157.6"," ","43,000","null","202010","9"," ","1976",""
"충청남도 공주시 반포면 학봉리","일반","9**","임금봉길","계획관리","숙박","12m미만","538.2","972.30","160,000","null","202012","2"," ","2008",""
"충청남도 공주시 반포면 학봉리","일반","9**","임금봉길","계획관리","숙박","12m미만","4212.64","1622.30","704,003","null","202012","16"," ","2014",""
"충청남도 공주시 봉황동","일반","8*","대통1길","제2종일반주거","제2종근린생활","8m미만","215.1","113.80","21,000","null","202012","13"," ","1991",""
"충청남도 공주시 봉황동","일반","9*","약령길","제2종일반주거","제2종근린생활","8m미만","261.29","218.20","7,000","null","202102","18"," ","1985",""
"충청남도 공주시 사곡면 해월리","일반","1**","해월새터길","농림","제1종근린생활","8m미만","154.18","347.00","6,000","null","202102","5"," ","2008",""
"충청남도 공주시 산성동","일반","1**","산성시장5길","일반상업","제1종근린생활","12m미만","617.79","336.70","125,000","null","202004","1"," ","1988",""
"충청남도 공주시 산성동","일반","1**","산성시장5길","일반상업","숙박","8m미만","349.53","210.00","18,500","null","202005","27"," ","1983",""
"충청남도 공주시 산성동","일반","1**","산성시장2길","일반상업","제2종근린생활","12m미만","28.67","37.40","12,600","null","202006","2"," ","1983",""
"충청남도 공주시 산성동","일반","1**","산성시장2길","일반상업","제2종근린생활","12m미만","27","358.33","4,500","null","202006","16"," ","1983",""
"충청남도 공주시 산성동","일반","1**","-","일반상업","제1종근린생활","8m미만","35.37","36.40","4,000","null","202009","28"," ","null",""
"충청남도 공주시 산성동","일반","1**","산성시장5길","일반상업","제2종근린생활","12m미만","301.45","445.00","60,000","null","202011","27"," ","2002",""
"충청남도 공주시 산성동","일반","1**","산성시장5길","일반상업","제2종근린생활","12m미만","301.45","445.00","60,000","null","202011","27"," ","2002","20201207"
"충청남도 공주시 산성동","일반","1**","산성시장5길","일반상업","제1종근린생활","8m미만","718.71","298.80","60,000","null","202012","21"," ","1987",""
"충청남도 공주시 산성동","일반","1**","산성1길","일반상업","숙박","8m미만","191.29","153.60","11,000","null","202101","18"," ","1990",""
"충청남도 공주시 산성동","일반","1**","무령로","일반상업","제2종근린생활","25m미만","161.05","66.10","21,000","null","202101","18"," ","1984",""
"충청남도 공주시 산성동","일반","1**","산성찬호길","제2종일반주거","제2종근린생활","8m미만","199.45","302.50","44,500","null","202102","19"," ","2019",""
"충청남도 공주시 상왕동","일반","8**","왕촌길","보전관리","제1종근린생활","8m미만","163.5","837.00","11,151","null","202004","9"," ","2010",""
"충청남도 공주시 상왕동","일반","3*","-","계획관리","제2종근린생활","12m미만","474.35","495.00","51,584","null","202102","25"," ","1997",""
"충청남도 공주시 소학동","일반","1*","-","자연녹지","제2종근린생활","12m미만","62.44","536.00","25,000","null","202008","3"," ","2013",""
"충청남도 공주시 소학동","일반","1*","창벽로","자연녹지","제2종근린생활","12m미만","151.52","347.00","24,200","null","202012","14"," ","1983",""
"충청남도 공주시 송선동","일반","1**","동현길","계획관리","제2종근린생활","12m미만","392.77","995.00","122,448","null","202008","7"," ","2006",""
"충청남도 공주시 송선동","일반","5**","송선농공단지길","계획관리","제1종근린생활","12m미만","11.94","25.17","2,000","null","202010","13"," ","2018",""
"충청남도 공주시 송선동","일반","6*","장척로","계획관리","제2종근린생활","12m미만","91.41","354.00","26,700","null","202101","22"," ","1950",""
"충청남도 공주시 신관동","일반","6**","번영1로","준주거","제1종근린생활","25m이상","691.05","366.00","128,000","null","202003","18"," ","2002",""
"충청남도 공주시 신관동","일반","5**","전막2길","일반상업","숙박","12m미만","1055.97","696.90","70,000","null","202003","25"," ","1993",""
"충청남도 공주시 신관동","집합","*","신금2길","제2종일반주거","제1종근린생활","25m이상","34.02"," ","16,000","1","202003","27"," ","2002",""
"충청남도 공주시 신관동","집합","6**","관골2길","제2종일반주거","제1종근린생활","25m미만","30.42"," ","13,700","1","202004","11"," ","2009",""
"충청남도 공주시 신관동","일반","6**","번영2로","제2종일반주거","제2종근린생활","12m미만","401.8","229.50","52,000","null","202004","18"," ","1998",""
"충청남도 공주시 신관동","일반","2**","한적2길","제2종일반주거","제1종근린생활","25m미만","103.84","88.00","44,300","null","202005","1"," ","2007",""
"충청남도 공주시 신관동","일반","2**","번영3로","제2종일반주거","제1종근린생활","8m미만","588.16","278.00","119,000","null","202005","28"," ","2014","20200811"
"충청남도 공주시 신관동","일반","6**","번영2로","제2종일반주거","제1종근린생활","12m미만","1101","415.90","115,000","null","202006","1"," ","1997",""
"충청남도 공주시 신관동","집합","6**","-","준주거","제1종근린생활","12m미만","73.04"," ","35,000","1","202006","1"," ","2001",""
"충청남도 공주시 신관동","일반","2**","신금1길","제2종일반주거","제2종근린생활","12m미만","105.4","266.00","32,000","null","202007","6"," ","2011",""
"충청남도 공주시 신관동","일반","2**","매산동길","제2종일반주거","제1종근린생활","8m미만","129.65","182.00","30,330","null","202008","1"," ","2003",""
"충청남도 공주시 신관동","일반","4*","무령로","자연녹지","제1종근린생활","12m미만","96.3","890.00","100,000","null","202008","20"," ","2008",""
"충청남도 공주시 신관동","일반","4*","무령로","자연녹지","제2종근린생활","12m미만","377.28","890.00","120,000","null","202008","20"," ","2008",""
