"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","356.1","178,904"," ",""
"대구광역시 달성군 옥포읍 김흥리","산3*","임야","자연환경보전","-","202003","19","43240","2,200"," ",""
"대구광역시 수성구 황금동","산2*","임야","자연녹지지역","-","202003","19","93.42","2,275","지분",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","47.3","23,292"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","641.7","315,992"," ",""
"대구광역시 달성군 다사읍 문산리","3**","전","제1종일반주거지역","-","202003","19","330","33,700"," ",""
"대구광역시 달성군 다사읍 문양리","4**","전","자연녹지지역","-","202003","19","95","4,000"," ",""
"대구광역시 달서구 상인동","5**","대","제3종일반주거지역","8m미만","202003","19","243.5","53,200"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","1119.3","562,334"," ",""
"대구광역시 달성군 옥포읍 본리리","3*","전","개발제한구역","8m미만","202003","19","857","6,900"," ",""
"대구광역시 달성군 옥포읍 기세리","2**","답","개발제한구역","8m미만","202003","19","324","7,173"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","1401.7","704,211"," ",""
